time,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,cfg0_x,cfg0_y,cfg0_z,cfg1_x,cfg1_y,cfg1_z,cfg2_x,cfg2_y,cfg2_z,cfg3_x,cfg3_y,cfg3_z,cfg4_x,cfg4_y,cfg4_z,cfg5_x,cfg5_y,cfg5_z
1.72511,0.025664,0,0.237875,0,0,0,-0.162751,1.36315,1.22201,0.0173625,0.912921,0.901096,-0.130754,1.35029,1.27411,0.0859283,0.887437,0.904149,-0.162751,1.36315,1.22201,0.026993,0.903157,0.867548
1.73513,0.0264444,0,0.237811,0,0,0,-0.165187,1.36278,1.22154,0.0182629,0.908381,0.89878,-0.133063,1.34976,1.27452,0.0888101,0.882994,0.902681,-0.165187,1.36278,1.22154,0.027365,0.898412,0.864333
1.74524,0.027233,0,0.237745,0,0,0,-0.167622,1.36241,1.22109,0.0191711,0.903946,0.896572,-0.135369,1.34924,1.27495,0.0917181,0.878667,0.90134,-0.167622,1.36241,1.22109,0.0277403,0.893771,0.861218
1.75505,0.0280299,0,0.237679,0,0,0,-0.170057,1.36204,1.22063,0.0200872,0.899614,0.894471,-0.137673,1.34872,1.27538,0.0946518,0.874457,0.900125,-0.170057,1.36204,1.22063,0.0281189,0.889234,0.858203
1.76524,0.0288347,0,0.237613,0,0,0,-0.172491,1.36166,1.22018,0.0210107,0.895387,0.892477,-0.139974,1.34819,1.27581,0.0976104,0.870364,0.899035,-0.172491,1.36166,1.22018,0.0285005,0.884799,0.855288
1.77518,0.0296474,0,0.237545,0,0,0,-0.174924,1.36129,1.21974,0.0219416,0.891265,0.890589,-0.142273,1.34767,1.27625,0.100593,0.866387,0.89807,-0.174924,1.36129,1.21974,0.0288851,0.880469,0.852472
1.78506,0.0304676,0,0.237477,0,0,0,-0.177356,1.36091,1.2193,0.0228795,0.887247,0.888808,-0.144569,1.34715,1.2767,0.1036,0.862526,0.897228,-0.177356,1.36091,1.2193,0.0292727,0.876242,0.849756
1.79517,0.0312952,0,0.237409,0,0,0,-0.179788,1.36053,1.21887,0.0238244,0.883335,0.887133,-0.146862,1.34663,1.27716,0.106629,0.858782,0.89651,-0.179788,1.36053,1.21887,0.0296631,0.872119,0.84714
1.80507,0.03213,0,0.23734,0,0,0,-0.182219,1.36015,1.21844,0.0247759,0.879527,0.885564,-0.149153,1.34612,1.27762,0.109681,0.855154,0.895915,-0.182219,1.36015,1.21844,0.0300563,0.8681,0.844623
1.81498,0.0329717,0,0.23727,0,0,0,-0.184649,1.35977,1.21801,0.0257338,0.875824,0.8841,-0.151441,1.3456,1.27808,0.112754,0.851641,0.895442,-0.184649,1.35977,1.21801,0.0304521,0.864186,0.842204
1.82518,0.0338202,0,0.2372,0,0,0,-0.187078,1.35938,1.21759,0.026698,0.872227,0.882741,-0.153726,1.34508,1.27856,0.115849,0.848245,0.89509,-0.187078,1.35938,1.21759,0.0308505,0.860375,0.839885
1.83519,0.0346753,0,0.237129,0,0,0,-0.189506,1.359,1.21718,0.0276683,0.868734,0.881486,-0.156009,1.34457,1.27904,0.118963,0.844965,0.894859,-0.189506,1.359,1.21718,0.0312514,0.856669,0.837664
1.84509,0.0355367,0,0.237058,0,0,0,-0.191933,1.35861,1.21677,0.0286443,0.865347,0.880336,-0.158289,1.34405,1.27952,0.122097,0.841801,0.894747,-0.191933,1.35861,1.21677,0.0316546,0.853068,0.835542
1.85511,0.0364043,0,0.236986,0,0,0,-0.194359,1.35822,1.21637,0.0296259,0.862066,0.87929,-0.160566,1.34354,1.28002,0.12525,0.838752,0.894755,-0.194359,1.35822,1.21637,0.0320602,0.849571,0.833518
1.86525,0.0372777,0,0.236914,0,0,0,-0.196784,1.35783,1.21597,0.030613,0.85889,0.878347,-0.162841,1.34303,1.28052,0.128421,0.835819,0.894881,-0.196784,1.35783,1.21597,0.032468,0.846179,0.831593
1.87508,0.0381569,0,0.236841,0,0,0,-0.199208,1.35743,1.21557,0.0316052,0.85582,0.877507,-0.165113,1.34252,1.28102,0.13161,0.833002,0.895125,-0.199208,1.35743,1.21557,0.032878,0.842892,0.829765
1.88516,0.0390415,0,0.236768,0,0,0,-0.20163,1.35704,1.21519,0.0326023,0.852855,0.876771,-0.167382,1.34201,1.28153,0.134815,0.8303,0.895487,-0.20163,1.35704,1.21519,0.0332899,0.83971,0.828036
1.89508,0.0399315,0,0.236694,0,0,0,-0.204052,1.35664,1.2148,0.0336042,0.849997,0.876137,-0.169648,1.3415,1.28205,0.138036,0.827714,0.895965,-0.204052,1.35664,1.2148,0.0337039,0.836633,0.826404
1.90508,0.0408264,0,0.23662,0,0,0,-0.206473,1.35624,1.21442,0.0346107,0.847244,0.875605,-0.171912,1.341,1.28257,0.141273,0.825243,0.896558,-0.206473,1.35624,1.21442,0.0341197,0.833661,0.824869
1.9151,0.0417262,0,0.236545,0,0,0,-0.208892,1.35584,1.21405,0.0356214,0.844598,0.875174,-0.174172,1.34049,1.2831,0.144524,0.822887,0.897267,-0.208892,1.35584,1.21405,0.0345372,0.830795,0.823432
1.92501,0.0426306,0,0.23647,0,0,0,-0.211311,1.35544,1.21368,0.0366363,0.842058,0.874846,-0.17643,1.33999,1.28364,0.14779,0.820646,0.89809,-0.211311,1.35544,1.21368,0.0349565,0.828035,0.822093
1.9351,0.0435394,0,0.236395,0,0,0,-0.213728,1.35503,1.21332,0.037655,0.839624,0.874618,-0.178685,1.33949,1.28419,0.151069,0.818521,0.899027,-0.213728,1.35503,1.21332,0.0353773,0.82538,0.82085
1.94508,0.0444523,0,0.23632,0,0,0,-0.216143,1.35463,1.21296,0.0386774,0.837297,0.874491,-0.180937,1.33899,1.28474,0.154361,0.816511,0.900077,-0.216143,1.35463,1.21296,0.0357997,0.822831,0.819704
1.95511,0.0453692,0,0.236244,0,0,0,-0.218558,1.35422,1.2126,0.0397033,0.835076,0.874465,-0.183186,1.33849,1.28529,0.157664,0.814615,0.90124,-0.218558,1.35422,1.2126,0.0362235,0.820387,0.818655
1.96525,0.0462897,0,0.236167,0,0,0,-0.220971,1.35381,1.21226,0.0407324,0.832962,0.874539,-0.185433,1.33799,1.28585,0.160979,0.812835,0.902514,-0.220971,1.35381,1.21226,0.0366486,0.81805,0.817702
1.9751,0.0472138,0,0.236091,0,0,0,-0.223383,1.3534,1.21191,0.0417645,0.830955,0.874712,-0.187676,1.33749,1.28642,0.164304,0.811169,0.903899,-0.223383,1.3534,1.21191,0.037075,0.81582,0.816845
1.98517,0.0481411,0,0.236014,0,0,0,-0.225793,1.35299,1.21157,0.0427995,0.829054,0.874985,-0.189917,1.337,1.287,0.16764,0.809618,0.905394,-0.225793,1.35299,1.21157,0.0375025,0.813695,0.816085
1.99516,0.0490714,0,0.235937,0,0,0,-0.228202,1.35257,1.21124,0.0438371,0.827261,0.875357,-0.192154,1.33651,1.28758,0.170984,0.808181,0.906999,-0.228202,1.35257,1.21124,0.0379311,0.811677,0.815421
2.0051,0.0500045,0,0.23586,0,0,0,-0.23061,1.35215,1.21091,0.044877,0.825575,0.875828,-0.194389,1.33601,1.28817,0.174338,0.806859,0.908713,-0.23061,1.35215,1.21091,0.0383607,0.809766,0.814853
2.01515,0.0509402,0,0.235782,0,0,0,-0.233016,1.35174,1.21059,0.0459192,0.823996,0.876397,-0.19662,1.33552,1.28877,0.177699,0.805652,0.910535,-0.233016,1.35174,1.21059,0.0387911,0.807961,0.81438
2.02524,0.0518782,0,0.235705,0,0,0,-0.235421,1.35132,1.21027,0.0469632,0.822524,0.877064,-0.198849,1.33504,1.28937,0.181067,0.804559,0.912465,-0.235421,1.35132,1.21027,0.0392224,0.806263,0.814003
2.03514,0.0528183,0,0.235627,0,0,0,-0.237824,1.35089,1.20996,0.0480091,0.82116,0.877828,-0.201075,1.33455,1.28998,0.184442,0.80358,0.914502,-0.237824,1.35089,1.20996,0.0396544,0.804672,0.813721
